AOIID,Name,Type,CenterX,CenterY,Area,CreateTime,UpdateTime,geometry
G00AOI000001XXQF,泉城公园,3320,117.019925,36.645126,424455.0628,2015/7/21 20:11,2021/8/4 18:00,"POLYGON ((117.02434301333334 36.64577899222222, 117.02431101333333 36.645334992222224, 117.02427901333334 36.64489099222222, 117.02410701333334 36.642798992222225, 117.02410201333333 36.642750992222226, 117.02409201333333 36.642719992222226, 117.02407501333333 36.642686992222224, 117.02405801333333 36.64267399222222, 117.02403701333333 36.642661992222216, 117.02399401333334 36.64265199222222, 117.02391801333333 36.64264799222222, 117.01522001333335 36.64268399222222, 117.01487301333331 36.642709992222215, 117.01453401333332 36.64275199222222, 117.01448701333332 36.64276099222222, 117.01443801333332 36.64277899222222, 117.01368401333335 36.64302799222222, 117.01366801333333 36.64304499222222, 117.01365501333332 36.64306099222222, 117.01364701333333 36.64308199222222, 117.01364501333333 36.64310199222222, 117.01395601333333 36.64435799222222, 117.01397801333333 36.64447699222222, 117.01399101333334 36.644602992222225, 117.01403301333333 36.64540299222222, 117.01404001333334 36.64542899222222, 117.01405801333334 36.64544999222222, 117.01408501333334 36.645464992222216, 117.01413101333333 36.645475992222224, 117.01720901333333 36.64540699222222, 117.01724101333332 36.64540999222222, 117.01727301333332 36.645413992222224, 117.01731001333333 36.64544099222222, 117.01733101333333 36.645483992222225, 117.01738801333332 36.64606699222222, 117.01740801333334 36.64610999222222, 117.01744001333333 36.646131992222216, 117.01747101333332 36.64614899222222, 117.01757601333333 36.646167992222225, 117.01760701333333 36.64618899222222, 117.01763801333333 36.646235992222216, 117.01766901333333 36.64672899222222, 117.01768901333332 36.646756992222215, 117.01771301333333 36.64678499222222, 117.01773601333332 36.646804992222215, 117.01777001333332 36.646823992222224, 117.01873501333334 36.64728599222222, 117.01878201333334 36.64733699222222, 117.01882901333335 36.64739699222222, 117.01890301333333 36.64750099222222, 117.01897201333334 36.64762199222222, 117.01898501333332 36.64764699222223, 117.01898701333334 36.64765399222222, 117.01894801333333 36.64828399222222, 117.01894901333333 36.64830099222222, 117.01895401333333 36.64831099222222, 117.01896101333334 36.648318992222215, 117.01896901333333 36.64832599222222, 117.01904801333333 36.64833399222222, 117.02436501333334 36.64828899222223, 117.02440701333333 36.64828299222222, 117.02444601333333 36.64827399222222, 117.02450001333332 36.64823999222222, 117.02453801333331 36.64820499222222, 117.02456901333333 36.64816799222223, 117.02458501333332 36.64813499222222, 117.02459301333333 36.648103992222225, 117.02434301333334 36.64577899222222))"
G00AOI00001N5X9A,燕子山,3310,117.061022,36.643659,320045.3175,2024/8/3 17:41,2024/8/3 17:41,"POLYGON ((117.06298001333334 36.64377099222222, 117.06333901333333 36.64362499222222, 117.06338373555556 36.64362543666667, 117.06385501333332 36.643629992222216, 117.06402101333335 36.64358599222222, 117.06401265222222 36.64336449222222, 117.06400890222221 36.64326524222222, 117.06400745777779 36.64322674222222, 117.06399801333333 36.642975992222226, 117.06382901333333 36.64296899222222, 117.06372101333332 36.64270099222222, 117.06366401333332 36.64263799222222, 117.06352401333334 36.64240999222222, 117.06334162444443 36.64224504777778, 117.06323101333332 36.64214499222222, 117.06261801333333 36.64205899222222, 117.06259801333334 36.641659992222216, 117.06263401333334 36.641630992222225, 117.06282001333334 36.64158399222222, 117.06308101333333 36.64155299222222, 117.06324901333335 36.641299992222216, 117.06331801333332 36.64118499222222, 117.06334901333334 36.64088999222222, 117.06325701333333 36.64042199222222, 117.06310301333333 36.64005799222222, 117.06281401333332 36.63965499222222, 117.06275201333334 36.63941799222223, 117.06252601333333 36.639343992222216, 117.06242101333333 36.639457992222226, 117.06206501333334 36.63938099222222, 117.06124101333333 36.639218992222226, 117.06025101333333 36.63897599222222, 117.06011901333333 36.63949899222222, 117.06034401333334 36.63957699222222, 117.06034501333333 36.63978499222222, 117.06026201333333 36.64033499222222, 117.06027801333333 36.640572992222225, 117.06030401333332 36.64079999222222, 117.06032601333334 36.640927992222224, 117.06033401333332 36.64100799222222, 117.06032501333333 36.64113899222222, 117.06028401333334 36.64122599222222, 117.06022401333334 36.64125099222222, 117.05867701333334 36.64123599222222, 117.05856801333333 36.641234992222216, 117.05841301333334 36.641299992222216, 117.05802801333333 36.641917992222226, 117.05802601333332 36.64229799222222, 117.05807801333334 36.64279999222222, 117.05804701333332 36.64312399222222, 117.05806701333333 36.64331299222222, 117.05811301333334 36.643859992222225, 117.05813301333333 36.64418999222222, 117.05850501333335 36.64434899222222, 117.05875101333332 36.64438399222222, 117.05896001333332 36.644704992222216, 117.05918601333333 36.64495099222222, 117.05924501333334 36.64510599222222, 117.05929001333334 36.64538999222222, 117.05926101333333 36.64550599222222, 117.05904101333331 36.645739992222225, 117.05863001333333 36.646020992222226, 117.05805701333334 36.64649999222222, 117.05806301333334 36.64687499222222, 117.05845201333334 36.64699399222222, 117.05880584666667 36.64699890888889, 117.06017501333334 36.647017992222224, 117.06038001333334 36.647056992222225, 117.06052501333335 36.64720699222222, 117.06068501333334 36.647693992222216, 117.06238701333334 36.647751992222226, 117.06365401333333 36.64721399222223, 117.06387501333333 36.646947992222216, 117.06404101333332 36.64632799222222, 117.06389301333334 36.64611299222222, 117.06377201333333 36.64597199222222, 117.06354301333333 36.64583199222222, 117.06334401333332 36.64575899222222, 117.06284301333334 36.64564499222222, 117.06250201333333 36.64508099222222, 117.06211501333333 36.64476699222222, 117.06224851333333 36.64437888111111, 117.06233001333334 36.64414199222222, 117.06257387444445 36.64400279777778, 117.06298001333334 36.64377099222222))"
G00AOI0000022H69,山东大学(趵突泉校区),3410,117.017825,36.652128,318258.0317,2015/6/30 10:44,2025/8/21 9:10,"POLYGON ((117.01967901333332 36.65520599222222, 117.01974201333334 36.65466599222223, 117.02013201333334 36.65469299222222, 117.02101301333333 36.65471699222222, 117.02103901333334 36.654179992222225, 117.02099401333334 36.65417899222222, 117.02109501333334 36.65237999222222, 117.02090001333333 36.65237499222223, 117.02090701333333 36.65135799222222, 117.02092301333333 36.651298992222216, 117.02096801333333 36.65128999222222, 117.02096401333334 36.650687992222224, 117.02097901333333 36.65049999222222, 117.02099001333335 36.64987799222222, 117.02099365222223 36.649546047777775, 117.02099401333334 36.649511992222216, 117.02087701333335 36.64950899222222, 117.02088601333334 36.64892599222222, 117.01998759666667 36.648911131111106, 117.01973701333333 36.64890699222222, 117.01969901333334 36.64974899222222, 117.01650801333334 36.64971999222222, 117.01649843 36.64902629777778, 117.01649701333334 36.648922992222225, 117.01480001333333 36.64896399222222, 117.01474901333333 36.64897199222222, 117.01473201333333 36.648984992222225, 117.01473201333333 36.649088992222225, 117.01473001333332 36.649632992222216, 117.01472701333334 36.64988699222222, 117.01472656888889 36.65000849222222, 117.01472201333333 36.65125599222222, 117.01470301333333 36.65178499222222, 117.01463701333333 36.65290099222222, 117.01448401333334 36.65451799222222, 117.01524001333333 36.654552992222214, 117.01525001333333 36.65448699222222, 117.01554101333332 36.65452199222222, 117.01550001333334 36.65478299222222, 117.01655201333332 36.65489999222223, 117.01791401333334 36.65504599222222, 117.01967901333332 36.65520599222222))"
G00AOI000001X5RZ,山东师范大学(千佛山校区),3410,117.041504,36.651962,317657.792,2015/7/21 20:11,2025/8/20 16:10,"POLYGON ((117.04039201333333 36.65457699222222, 117.04149201333333 36.65456399222222, 117.04149401333333 36.65481399222222, 117.04471301333332 36.65480099222222, 117.04475101333333 36.65477799222222, 117.04476901333332 36.65474199222222, 117.04473101333333 36.65300699222222, 117.04475201333332 36.65153899222222, 117.04473501333334 36.64993399222222, 117.04472301333334 36.649564992222224, 117.04471601333333 36.64955099222222, 117.04470401333333 36.64954399222222, 117.04334401333332 36.64957399222222, 117.04329401333332 36.64956699222222, 117.04327901333333 36.64955399222222, 117.04325801333333 36.648839992222214, 117.04250701333333 36.64883799222222, 117.04250676333332 36.64892735333333, 117.04250501333333 36.649584992222216, 117.04137601333333 36.64957199222222, 117.04136979111111 36.64888554777778, 117.04136901333334 36.64879899222222, 117.04036701333334 36.64878399222222, 117.04034801333334 36.648787992222225, 117.04034101333333 36.64879899222222, 117.03978701333334 36.64881999222222, 117.03964501333333 36.64904599222222, 117.03956701333334 36.649204992222224, 117.03950101333334 36.64924499222222, 117.03942301333332 36.649339992222224, 117.03936401333333 36.64982299222222, 117.03913301333333 36.649820992222224, 117.03913201333334 36.65003899222222, 117.03912001333332 36.65007099222222, 117.03909201333333 36.65009699222222, 117.03907568 36.65010202, 117.03902568 36.65011740888888, 117.03897501333333 36.650132992222225, 117.03890201333333 36.65023999222222, 117.03847001333332 36.650219992222226, 117.03846401333334 36.650617992222216, 117.03843801333333 36.65063099222222, 117.03839801333334 36.65065099222222, 117.03743801333333 36.65064399222222, 117.03777701333334 36.65301999222222, 117.03781001333333 36.65304799222223, 117.03961201333334 36.65304599222222, 117.03960301333333 36.65414299222222, 117.03891101333332 36.654135992222216, 117.03891081888888 36.65415849222222, 117.03890901333332 36.654357992222224, 117.03889101333334 36.65435699222222, 117.03889101333334 36.65443699222222, 117.03880301333334 36.65443299222222, 117.03880501333333 36.65448199222222, 117.03868101333333 36.65448599222222, 117.03810701333332 36.65446099222222, 117.03810501333332 36.65474799222223, 117.03812801333332 36.654810992222224, 117.03820501333333 36.65482899222222, 117.03920509666666 36.65481579777777, 117.04040201333332 36.654799992222216, 117.04039201333333 36.65457699222222))"
G00AOI00001MVSMK,燕山立交低线公园,3320,117.07159,36.651418,226612.8863,2024/7/16 12:01,2025/7/12 14:20,"POLYGON ((117.07432101333333 36.65205999222222, 117.07529601333333 36.65202699222222, 117.07890101333334 36.65231899222223, 117.07902945777776 36.65165385333333, 117.07903001333332 36.65165099222222, 117.0780948188889 36.651528436666666, 117.07601601333333 36.65125599222222, 117.07537723555556 36.651163742222224, 117.07501201333332 36.65111099222222, 117.07411201333333 36.65085699222222, 117.07402901333333 36.65084799222222, 117.07393501333333 36.65091099222222, 117.07379401333333 36.650878992222225, 117.07359701333333 36.650844992222225, 117.07357118 36.65084449222223, 117.07338901333333 36.65084099222222, 117.07322301333333 36.65085199222222, 117.07299901333333 36.650870992222224, 117.07277601333334 36.65091399222222, 117.07254701333333 36.65091999222222, 117.07224701333334 36.65084199222222, 117.07193301333332 36.65064999222222, 117.07170101333332 36.650417992222216, 117.07133401333333 36.64966199222222, 117.07109301333334 36.64902899222222, 117.07086101333333 36.648422992222216, 117.07057001333332 36.64765799222222, 117.06976201333332 36.64774799222222, 117.06962101333333 36.64743499222222, 117.06954701333332 36.64743599222222, 117.06957401333334 36.64789299222222, 117.06954401333333 36.64909099222222, 117.06955001333334 36.65005599222222, 117.06938306888888 36.65012707555556, 117.06924701333334 36.65018499222222, 117.06859201333333 36.650474992222215, 117.06832601333333 36.65055099222222, 117.06744301333333 36.65053799222222, 117.06614434666666 36.65044282555555, 117.06595773555556 36.650428992222224, 117.06543701333334 36.65039099222222, 117.06535101333333 36.65109199222222, 117.06661012444445 36.651203603333336, 117.0669637911111 36.65123496444444, 117.06768601333333 36.651298992222216, 117.06826401333333 36.65141599222222, 117.06854940222222 36.65152104777778, 117.06875301333332 36.65159599222222, 117.06885101333333 36.65157799222222, 117.06932401333334 36.651832992222225, 117.06926601333333 36.65190399222222, 117.06978001333333 36.65227399222222, 117.07019601333333 36.65274899222222, 117.07045665222222 36.653153520000004, 117.07054201333334 36.653285992222216, 117.07069701333333 36.65354599222222, 117.07078201333333 36.653780992222224, 117.07078673555554 36.65434171444445, 117.07078973555556 36.65469763111111, 117.07079001333334 36.65472999222222, 117.07089309666667 36.65472863111111, 117.07247001333333 36.65470799222222, 117.07247501333333 36.65366899222222, 117.07260901333333 36.65326399222222, 117.07265143000001 36.65319613111111, 117.07291901333332 36.65276799222222, 117.07310901333332 36.65249899222222, 117.07338301333334 36.65233299222222, 117.07370048555555 36.652208242222216, 117.07383601333333 36.65215499222222, 117.07432101333333 36.65205999222222))"
G00AOI000001X5RE,山东大学(千佛山校区)北院,3410,117.028572,36.651159,188661.1492,2015/7/21 20:11,2023/9/5 14:52,"POLYGON ((117.02783601333333 36.65380999222222, 117.02789201333333 36.65330999222222, 117.02985001333333 36.65347999222222, 117.02989801333332 36.65344999222222, 117.02996601333334 36.65305299222222, 117.02998101333334 36.65304499222222, 117.03052501333335 36.65309899222222, 117.03057301333332 36.65307299222222, 117.03091601333333 36.651455992222225, 117.03111501333333 36.65050099222222, 117.03121501333332 36.650040992222216, 117.03121501333332 36.65002599222222, 117.03120501333333 36.65001299222222, 117.03103301333333 36.64995299222222, 117.03102801333334 36.64993399222222, 117.03115101333333 36.649513992222225, 117.03067601333333 36.64947099222222, 117.03067715222222 36.649457964444444, 117.03069401333333 36.649264992222214, 117.03061093 36.649241769999996, 117.03046501333334 36.64920099222222, 117.03044201333333 36.64881299222222, 117.02986101333333 36.64880899222222, 117.02924701333333 36.64881199222222, 117.02801901333333 36.64881399222222, 117.02651201333333 36.64881999222222, 117.02646701333333 36.649841992222214, 117.02643501333333 36.65130499222222, 117.02637301333333 36.65199599222222, 117.02628501333332 36.65265999222222, 117.02626801333332 36.652973992222215, 117.02617601333333 36.65368699222222, 117.02783601333333 36.65380999222222))"
G00AOI000006MXPP,历山名郡,3110,117.034042,36.650938,95428.63868,2021/8/30 8:50,2021/9/2 17:41,"POLYGON ((117.03734301333334 36.65381599222222, 117.03720401333332 36.65316499222222, 117.03714501333333 36.65273999222222, 117.03691201333334 36.65132999222222, 117.03664401333333 36.649907992222225, 117.03596201333333 36.64992299222222, 117.03575201333332 36.64995699222222, 117.03569801333333 36.64997199222223, 117.03567701333333 36.64999899222222, 117.03565801333332 36.65003899222222, 117.03565401333333 36.65008599222222, 117.03565101333332 36.65023299222222, 117.03537601333333 36.65028799222222, 117.03538701333332 36.650515992222225, 117.03542101333333 36.650513992222216, 117.03552101333332 36.65095399222222, 117.03414501333333 36.65093399222222, 117.03413301333332 36.65054499222222, 117.03139301333334 36.65038499222222, 117.03122701333334 36.65102699222222, 117.03103701333335 36.651841992222224, 117.03072201333332 36.653389992222216, 117.03073001333333 36.65362099222222, 117.03192101333332 36.653746992222224, 117.03194901333333 36.65374899222222, 117.03197601333333 36.65373299222222, 117.03199901333335 36.65370999222222, 117.03196701333334 36.65363099222222, 117.03198201333333 36.65350199222222, 117.03215901333334 36.65215799222222, 117.03232101333334 36.65120099222222, 117.03304001333335 36.65125199222222, 117.03568501333334 36.65147399222222, 117.03571501333333 36.65158999222223, 117.03585101333334 36.65197199222222, 117.03586801333333 36.65233799222222, 117.03586301333333 36.65241099222222, 117.03580401333333 36.65271499222222, 117.03579301333333 36.65299599222222, 117.03576401333332 36.65316699222222, 117.03577601333333 36.65324199222222, 117.03654301333333 36.653239992222225, 117.03670401333333 36.65322899222222, 117.03681201333332 36.653976992222226, 117.03736301333333 36.65395299222222, 117.03734301333334 36.65381599222222))"
G00AOI000001X5SS,山东省中医院(东院区),3610,117.04642,36.650617,91756.1477,2015/7/21 20:11,2025/8/15 9:40,"POLYGON ((117.04775701333332 36.64881299222222, 117.04650101333333 36.648810992222224, 117.04511801333334 36.64883199222222, 117.04507501333333 36.64883699222222, 117.04506601333334 36.648840992222226, 117.04504001333333 36.64886199222222, 117.04502901333332 36.64887799222222, 117.04502501333333 36.648905992222225, 117.04498401333332 36.65009299222222, 117.04504601333332 36.65130199222222, 117.04506801333333 36.65240299222222, 117.04507501333333 36.65242599222222, 117.04508801333333 36.65243799222222, 117.04511301333334 36.65244499222222, 117.04753601333333 36.652421992222216, 117.04781201333333 36.65241199222222, 117.04781401333332 36.65089599222222, 117.04781901333332 36.65041299222222, 117.04782201333333 36.64959699222222, 117.04781001333333 36.64911499222222, 117.04779901333333 36.648847992222215, 117.04779501333333 36.648835992222224, 117.04778101333333 36.64882099222222, 117.04777501333334 36.64881599222222, 117.04775701333332 36.64881299222222))"
G00AOI0000067OSY,齐鲁工业大学(千佛山校区),3410,117.047837,36.642907,90955.61421,2018/11/28 11:10,2023/10/10 16:17,"POLYGON ((117.04903001333334 36.64421499222222, 117.04906601333334 36.64390699222222, 117.04911001333333 36.64390599222222, 117.04917601333332 36.64358799222222, 117.04922401333333 36.643232992222224, 117.04929001333335 36.64293399222222, 117.04926001333334 36.642919992222225, 117.04940701333334 36.642484992222215, 117.04949701333332 36.64212199222222, 117.04965401333332 36.64148999222222, 117.04949801333332 36.64063299222222, 117.04931001333333 36.64061599222222, 117.04932901333332 36.640506992222214, 117.04839501333332 36.64044299222222, 117.04809401333333 36.64045099222222, 117.04807301333332 36.640868992222224, 117.04775601333334 36.64087599222223, 117.04773601333332 36.64144999222222, 117.04773601333332 36.64176299222222, 117.04819001333333 36.64178399222222, 117.04819801333333 36.64181499222222, 117.04816601333333 36.642661992222216, 117.04813701333333 36.64269899222222, 117.04806301333333 36.64273899222222, 117.04793801333334 36.64274699222222, 117.04692901333333 36.64274499222222, 117.04627201333334 36.64275199222222, 117.04627501333333 36.642697992222224, 117.04573201333332 36.64269699222222, 117.04573201333332 36.64296999222222, 117.04542701333332 36.642961992222226, 117.04530101333334 36.643139992222224, 117.04529362444444 36.64315988111111, 117.04525201333334 36.643271992222225, 117.04525201333334 36.64345199222222, 117.04490401333334 36.64344799222223, 117.04491001333334 36.644138992222224, 117.04637701333333 36.64411799222222, 117.04695151333334 36.64411693666666, 117.04802801333332 36.64411499222222, 117.04802101333333 36.645329992222216, 117.04845801333335 36.64533599222222, 117.04848001333332 36.644988992222224, 117.04891501333333 36.64497699222222, 117.04893001333333 36.64469399222222, 117.04897701333331 36.644600992222216, 117.04903001333334 36.64421499222222))"
G00AOI0000024EDV,山东大厦,3930,117.022173,36.640724,87291.1095,2015/7/21 20:11,2021/8/18 6:35,"POLYGON ((117.02405901333333 36.64169699222222, 117.02405001333332 36.64167199222222, 117.02403101333333 36.64164399222222, 117.02401201333333 36.64161499222222, 117.02393001333333 36.64153399222222, 117.02390401333332 36.641501992222224, 117.02388001333334 36.641470992222224, 117.02320901333333 36.64019699222222, 117.02279901333333 36.639387992222225, 117.02236401333333 36.63868699222222, 117.02233501333333 36.638664992222225, 117.02230501333332 36.63864299222222, 117.02228201333332 36.63862999222222, 117.02226001333332 36.63861599222222, 117.02222001333332 36.63859999222222, 117.02219201333332 36.63859199222222, 117.02215601333333 36.63858199222222, 117.02213101333334 36.63857699222223, 117.02210201333332 36.63857499222222, 117.02126801333333 36.63861099222222, 117.02122501333334 36.638614992222216, 117.02118501333332 36.638623992222215, 117.02113601333332 36.63863799222222, 117.02109201333333 36.63865499222222, 117.02105501333332 36.638672992222226, 117.02102701333332 36.63869699222222, 117.02099701333333 36.638720992222225, 117.02096701333333 36.63874399222222, 117.02092501333333 36.63878799222222, 117.02088801333333 36.63883899222222, 117.02081701333334 36.63895799222222, 117.02080101333333 36.63899099222222, 117.02079101333334 36.639016992222224, 117.02077101333332 36.63905299222222, 117.02076001333333 36.63908599222222, 117.02075201333332 36.63911599222222, 117.02074401333333 36.63916899222222, 117.02074901333334 36.64163899222223, 117.02075901333333 36.641661992222225, 117.02077701333333 36.64167799222223, 117.02080401333333 36.64168599222222, 117.02084001333333 36.641686992222226, 117.02114301333333 36.64168399222222, 117.02116501333334 36.64168599222222, 117.02118701333332 36.64169199222222, 117.02119901333334 36.641707992222216, 117.02120201333332 36.641724992222215, 117.02118401333334 36.642238992222225, 117.02118501333332 36.64225399222222, 117.02119201333333 36.64226699222222, 117.02120701333334 36.64227199222222, 117.02122701333333 36.64227499222222, 117.02146501333333 36.64227699222222, 117.02148201333333 36.642278992222224, 117.02149801333333 36.64227999222222, 117.02150601333334 36.64228799222222, 117.02151401333333 36.64229699222222, 117.02151701333332 36.64233399222222, 117.02152001333333 36.64235099222223, 117.02153301333333 36.642367992222226, 117.02155701333334 36.642382992222224, 117.02158901333334 36.64239599222222, 117.02164601333332 36.64241499222222, 117.02168801333333 36.642424992222224, 117.02173301333332 36.64243499222222, 117.02177601333332 36.64244299222222, 117.02180701333334 36.64244799222222, 117.02184101333334 36.64245099222222, 117.02407301333332 36.642458992222224, 117.02408701333334 36.64245499222223, 117.02409701333333 36.64244899222222, 117.02410501333333 36.64244099222222, 117.02411001333333 36.64243099222222, 117.02408901333334 36.641808992222224, 117.02408001333333 36.641772992222215, 117.02407201333334 36.64174499222222, 117.02406901333332 36.64172299222222, 117.02405901333333 36.64169699222222))"
